order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0001,2026-07-01,32800000,Omni Global,REF0001,2026-07-10,5904000,INR,settled
ORD0002,2026-07-08,66300000,Omni Global,REF0002,2026-07-17,11934000,INR,settled
ORD0003,2026-07-04,38500000,Global Tech,REF0003,2026-07-05,6930000,INR,settled
ORD0004,2026-07-03,121600000,Omni Global,REF0004,2026-07-12,21888000,INR,settled
ORD0005,2026-07-02,96400000,Delta Systems,REF0005,2026-07-08,17352000,INR,settled
ORD0006,2026-07-07,29100000,Acme Corp,REF0006,2026-07-08,5238000,INR,settled
ORD0007,2026-07-20,113400000,Global Tech,REF0007,2026-07-21,20412000,INR,settled
ORD0008,2026-07-07,124900000,Acme Corp,REF0008,2026-07-08,22482000,INR,settled
ORD0009,2026-07-18,143000000,Omni Global,REF0009,2026-07-27,25740000,INR,settled
ORD0010,2026-07-15,55100000,Beta LLC,REF0010,2026-07-20,9918000,INR,settled
ORD0011,2026-07-01,66900000,Delta Systems,REF0011,2026-07-07,12042000,INR,settled
ORD0012,2026-07-14,42600000,Vortex Dynamics,REF0012,2026-07-26,7668000,INR,settled
ORD0013,2026-07-05,66900000,Nexus Inc,REF0013,2026-07-07,12042000,INR,settled
ORD0014,2026-07-04,78900000,Global Tech,REF0014,2026-07-05,14202000,INR,settled
ORD0015,2026-07-04,50000,Acme Corp,REF0015,2026-07-05,15804000,USD,settled
ORD0016,2026-07-20,80400000,Nexus Inc,REF0016,2026-07-22,14472000,INR,settled
ORD0017,2026-07-15,18800000,Nexus Inc,REF0017,2026-07-17,3384000,INR,settled
ORD0018,2026-07-13,35500000,Delta Systems,REF0018,2026-07-19,6390000,INR,settled
ORD0019,2026-07-10,123000000,Acme Corp,REF0019,2026-07-11,22140000,INR,settled
ORD0020,2026-07-20,138700000,Vortex Dynamics,REF0020,2026-08-01,24966000,INR,settled
ORD0021,2026-07-19,84000000,Vortex Dynamics,REF0021,2026-07-31,15120000,INR,settled
