payout_id,payout_date,order_id,utr_reference,gross_amount,gateway_fee,gateway_tax,net_payout,status
PAYOUT0001,2026-07-04,ORD0001,REF0001,32800000,656000,118080,32144000,SETTLED
PAYOUT0002,2026-07-05,ORD0002,REF0002,66300000,1326000,238680,64974000,SETTLED
PAYOUT0003,2026-07-06,ORD0003,REF0003,38500000,770000,138600,37730000,SETTLED
PAYOUT0004,2026-07-07,ORD0004,REF0004,121600000,2432000,437760,119168000,SETTLED
PAYOUT0005,2026-07-22,ORD0005,REF0005,96400000,1928000,347040,94472000,SETTLED
PAYOUT0006,2026-07-18,ORD0006,REF0006,29100000,582000,104760,28518000,SETTLED
PAYOUT0007,2026-07-10,ORD0007,REF0007,113400000,2268000,408240,111132000,SETTLED
PAYOUT0008,2026-07-11,ORD0008,REF0008,124900000,2498000,449640,122402000,SETTLED
PAYOUT0009,2026-07-12,ORD0009,REF0009,143000000,2860000,514800,140140000,SETTLED
PAYOUT0010,2026-07-13,ORD0010,REF0010,75200000,1504000,270720,73696000,SETTLED
PAYOUT0011,2026-07-28,ORD0011,REF0011,88400000,1768000,318240,86632000,SETTLED
PAYOUT0012,2026-07-24,ORD0012,REF0012,49500000,990000,178200,48510000,SETTLED
PAYOUT0013,2026-07-16,ORD0013,REF0013,154200000,3084000,555120,151116000,SETTLED
PAYOUT0014,2026-07-17,ORD0014,REF0014,62100000,1242000,223560,60858000,SETTLED
PAYOUT0015,2026-07-03,ORD0015,REF0015,108900000,2178000,392040,106722000,SETTLED
PAYOUT0016,2026-07-04,ORD0016,REF0016,34500000,690000,124200,33810000,SETTLED
PAYOUT0017,2026-07-19,ORD0017,REF0017,77800000,1556000,280080,76244000,SETTLED
PAYOUT0018,2026-07-15,ORD0018,REF0018,91200000,1824000,328320,89376000,SETTLED
PAYOUT0019,2026-07-07,ORD0019,REF0019,132000000,2640000,475200,129360000,SETTLED
PAYOUT0020,2026-07-08,ORD0020,REF0020,56000000,1120000,201600,54880000,SETTLED
PAYOUT0021,2026-07-09,ORD0021,REF0021,32800000,656000,118080,32144000,SETTLED
PAYOUT0022,2026-07-10,ORD0022,REF0022,66300000,1326000,238680,64974000,SETTLED
PAYOUT0023,2026-07-25,ORD0023,REF0023,38500000,770000,138600,37730000,SETTLED
PAYOUT0024,2026-07-21,ORD0024,REF0024,121600000,2432000,437760,119168000,SETTLED
PAYOUT0025,2026-07-13,ORD0025,REF0025,96400000,1928000,347040,94472000,SETTLED
PAYOUT0026,2026-07-14,ORD0026,REF0026,29100000,582000,104760,28518000,SETTLED
PAYOUT0027,2026-07-15,ORD0027,REF0027,113400000,2268000,408240,111132000,SETTLED
PAYOUT0028,2026-07-16,ORD0028,REF0028,124900000,2498000,449640,122402000,SETTLED
PAYOUT0029,2026-07-31,ORD0029,REF0029,143000000,2860000,514800,140140000,SETTLED
PAYOUT0030,2026-07-12,ORD0030,REF0030,75200000,1504000,270720,73696000,SETTLED
PAYOUT0031,2026-07-04,ORD0031,REF0031,88400000,1768000,318240,86632000,SETTLED
PAYOUT0032,2026-07-05,ORD0032,REF0032,49500000,990000,178200,48510000,SETTLED
PAYOUT0033,2026-07-06,ORD0033,REF0033,154200000,3084000,555120,151116000,SETTLED
PAYOUT0034,2026-07-07,ORD0034,REF0034,62100000,1242000,223560,60858000,SETTLED
PAYOUT0035,2026-07-22,ORD0035,REF0035,108900000,2178000,392040,106722000,SETTLED
PAYOUT0036,2026-07-18,ORD0036,REF0036,34500000,690000,124200,33810000,SETTLED
PAYOUT0037,2026-07-10,ORD0037,REF0037,77800000,1556000,280080,76244000,SETTLED
PAYOUT0038,2026-07-11,ORD0038,REF0038,91200000,1824000,328320,89376000,SETTLED
PAYOUT0039,2026-07-12,ORD0039,REF0039,132000000,2640000,475200,129360000,SETTLED
PAYOUT0040,2026-07-13,ORD0040,REF0040,56000000,1120000,201600,54880000,SETTLED
PAYOUT0041,2026-07-28,ORD0041,REF0041,32800000,656000,118080,32144000,SETTLED
PAYOUT0042,2026-07-24,ORD0042,REF0042,66300000,1326000,238680,64974000,SETTLED
PAYOUT0043,2026-07-16,ORD0043,REF0043,38500000,770000,138600,37730000,SETTLED
PAYOUT0044,2026-07-17,ORD0044,REF0044,121600000,2432000,437760,119168000,SETTLED
PAYOUT0045,2026-07-03,ORD0045,REF0045,96400000,1928000,347040,94472000,SETTLED
PAYOUT0046,2026-07-04,ORD0046,REF0046,29100000,582000,104760,28518000,SETTLED
PAYOUT0047,2026-07-19,ORD0047,REF0047,113400000,2268000,408240,111132000,SETTLED
PAYOUT0048,2026-07-15,ORD0048,REF0048,124900000,2498000,449640,122402000,SETTLED
PAYOUT0049,2026-07-07,ORD0049,REF0049,143000000,2860000,514800,140140000,SETTLED
PAYOUT0050,2026-07-08,ORD0050,REF0050,75200000,1504000,270720,73696000,SETTLED
PAYOUT0051,2026-07-28,ORD0051,REF0051_FUZZY,85000000,1700000,306000,83300000,SETTLED
