settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL4001,2026-08-04,2150000,UTR409901,Acme Corp,43000,2107000,HDFC Bank Payout PAY4001 UTR:UTR409901,INR
STL4002,2026-08-05,2300000,UTR409902,Vortex Dynamics,46000,2254000,HDFC Bank Payout PAY4002 UTR:UTR409902,INR
STL4003,2026-08-06,2450000,UTR409903,Pioneer Auto,49000,2401000,HDFC Bank Payout PAY4003 UTR:UTR409903,INR
STL4004,2026-08-07,2600000,UTR409904,Raga Exports,52000,2548000,HDFC Bank Payout PAY4004 UTR:UTR409904,INR
STL4005,2026-08-08,2750000,UTR409905,Global Tech,55000,2695000,HDFC Bank Payout PAY4005 UTR:UTR409905,INR
STL4006,2026-08-09,2900000,UTR409906,Delta Systems,58000,2842000,HDFC Bank Payout PAY4006 UTR:UTR409906,INR
STL4007,2026-08-10,3050000,UTR409907,Omni Global,61000,2989000,HDFC Bank Payout PAY4007 UTR:UTR409907,INR
STL4008,2026-08-11,3200000,UTR409908,Meridian Steel,64000,3136000,HDFC Bank Payout PAY4008 UTR:UTR409908,INR
STL4009,2026-08-12,3350000,UTR409909,Everest Textiles,67000,3283000,HDFC Bank Payout PAY4009 UTR:UTR409909,INR
STL4010,2026-08-13,3500000,UTR409910,Acme Corp,70000,3430000,HDFC Bank Payout PAY4010 UTR:UTR409910,INR
STL4011,2026-08-14,3650000,UTR409911,Vortex Dynamics,73000,3577000,HDFC Bank Payout PAY4011 UTR:UTR409911,INR
STL4012,2026-08-15,3800000,UTR409912,Pioneer Auto,76000,3724000,HDFC Bank Payout PAY4012 UTR:UTR409912,INR
STL4013,2026-08-16,3950000,UTR409913,Raga Exports,79000,3871000,HDFC Bank Payout PAY4013 UTR:UTR409913,INR
STL4014,2026-08-17,4100000,UTR409914,Global Tech,82000,4018000,HDFC Bank Payout PAY4014 UTR:UTR409914,INR
STL4015,2026-08-18,4250000,UTR409915,Delta Systems,85000,4165000,HDFC Bank Payout PAY4015 UTR:UTR409915,INR
