settlement_id,order_id,is_true_match
STL4001,ORD4001,true
STL4002,ORD4002,true
STL4003,ORD4003,true
STL4004,ORD4004,true
STL4005,ORD4005,true
STL4006,ORD4006,true
STL4007,ORD4007,true
STL4008,ORD4008,true
STL4009,ORD4009,true
STL4010,ORD4010,true
STL4011,ORD4011,true
STL4012,ORD4012,true
STL4013,ORD4013,true
STL4014,ORD4014,true
STL4015,ORD4015,true
STL4016,ORD4016,true
STL4017,ORD4017,true
STL4018,ORD4018,true
STL4019,ORD4019,true
STL4020,ORD4020,true
STL4021,ORD4021,true
STL4022,ORD4022,true
STL4023,ORD4023,true
STL4024,ORD4024,true
STL4025,ORD4025,true
STL4026,ORD4026,true
STL4027,ORD4027,true
STL4028,ORD4028,true
STL4029,ORD4029,true
STL4030,ORD4030,true
STL4031,ORD4031,true
STL4032,ORD4032,true
STL4033,ORD4033,true
STL4034,ORD4034,true
STL4035,ORD4035,true
STL4036,ORD4036,true
STL4037,ORD4037,true
STL4038,ORD4038,true
STL4039,ORD4039,true
STL4040,ORD4040,true
STL4041,ORD4041,true
STL4042,ORD4042,true
STL4043,ORD4043,true
STL4044,ORD4044,true
STL4045,ORD4045,true
STL4046,ORD4046,false
STL4047,ORD4047,false
STL4048,ORD4048,false
STL4049,ORD4049,false
STL4050,ORD4050,false
