order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD4001,2026-08-02,2150000,Acme Corp,REF_ORD4001,2026-08-04,7740,INR,settled
ORD4002,2026-08-03,2300000,Vortex Dynamics,REF_ORD4002,2026-08-05,8280,INR,settled
ORD4003,2026-08-04,2450000,Pioneer Auto,REF_ORD4003,2026-08-06,8820,INR,settled
ORD4004,2026-08-05,2600000,Raga Exports,REF_ORD4004,2026-08-07,9360,INR,settled
ORD4005,2026-08-06,2750000,Global Tech,REF_ORD4005,2026-08-08,9900,INR,settled
ORD4006,2026-08-07,2900000,Delta Systems,REF_ORD4006,2026-08-09,10440,INR,settled
ORD4007,2026-08-08,3050000,Omni Global,REF_ORD4007,2026-08-10,10980,INR,settled
ORD4008,2026-08-09,3200000,Meridian Steel,REF_ORD4008,2026-08-11,11520,INR,settled
ORD4009,2026-08-10,3350000,Everest Textiles,REF_ORD4009,2026-08-12,12060,INR,settled
ORD4010,2026-08-11,3500000,Acme Corp,REF_ORD4010,2026-08-13,12600,INR,settled
ORD4011,2026-08-12,3650000,Vortex Dynamics,REF_ORD4011,2026-08-14,13140,INR,settled
ORD4012,2026-08-13,3800000,Pioneer Auto,REF_ORD4012,2026-08-15,13680,INR,settled
ORD4013,2026-08-14,3950000,Raga Exports,REF_ORD4013,2026-08-16,14220,INR,settled
ORD4014,2026-08-15,4100000,Global Tech,REF_ORD4014,2026-08-17,14760,INR,settled
ORD4015,2026-08-16,4250000,Delta Systems,REF_ORD4015,2026-08-18,15300,INR,settled
ORD4016,2026-08-17,4400000,Omni Global,REF_ORD4016,2026-08-19,15840,INR,settled
ORD4017,2026-08-18,4550000,Meridian Steel,REF_ORD4017,2026-08-20,16380,INR,settled
ORD4018,2026-08-19,4700000,Everest Textiles,REF_ORD4018,2026-08-21,16920,INR,settled
ORD4019,2026-08-20,4850000,Acme Corp,REF_ORD4019,2026-08-22,17460,INR,settled
ORD4020,2026-08-21,5000000,Vortex Dynamics,REF_ORD4020,2026-08-23,18000,INR,settled
ORD4021,2026-08-22,5150000,Pioneer Auto,REF_ORD4021,2026-08-24,18540,INR,settled
ORD4022,2026-08-23,5300000,Raga Exports,REF_ORD4022,2026-08-25,19080,INR,settled
ORD4023,2026-08-24,5450000,Global Tech,REF_ORD4023,2026-08-26,19620,INR,settled
ORD4024,2026-08-25,5600000,Delta Systems,REF_ORD4024,2026-08-27,20160,INR,settled
ORD4025,2026-08-01,5750000,Omni Global,REF_ORD4025,2026-08-03,20700,INR,settled
ORD4026,2026-08-02,5900000,Meridian Steel,REF_ORD4026,2026-08-04,21240,INR,settled
ORD4027,2026-08-03,6050000,Everest Textiles,REF_ORD4027,2026-08-05,21780,INR,settled
ORD4028,2026-08-04,6200000,Acme Corp,REF_ORD4028,2026-08-06,22320,INR,settled
ORD4029,2026-08-05,6350000,Vortex Dynamics,REF_ORD4029,2026-08-07,22860,INR,settled
ORD4030,2026-08-06,6500000,Pioneer Auto,REF_ORD4030,2026-08-08,23400,INR,settled
ORD4031,2026-08-07,9700000,Raga Exports,REF_ORD4031,2026-08-09,41205,INR,settled
ORD4032,2026-08-08,9900000,Global Tech,REF_ORD4032,2026-08-10,42055,INR,settled
ORD4033,2026-08-09,10100000,Delta Systems,REF_ORD4033,2026-08-11,42904,INR,settled
ORD4034,2026-08-10,10300000,Omni Global,REF_ORD4034,2026-08-12,43754,INR,settled
ORD4035,2026-08-11,10500000,Meridian Steel,REF_ORD4035,2026-08-13,44604,INR,settled
ORD4036,2026-08-12,10700000,Everest Textiles,REF_ORD4036,2026-08-14,45453,INR,settled
ORD4037,2026-08-13,10900000,Acme Corp,REF_ORD4037,2026-08-15,46303,INR,settled
ORD4038,2026-08-14,11100000,Vortex Dynamics,REF_ORD4038,2026-08-16,47152,INR,settled
ORD4039,2026-08-15,11300000,Pioneer Auto,REF_ORD4039,2026-08-17,48002,INR,settled
ORD4040,2026-08-16,11500000,Raga Exports,REF_ORD4040,2026-08-18,48852,INR,settled
ORD4041,2026-08-17,11700000,Global Tech,REF_ORD4041,2026-08-19,49701,INR,settled
ORD4042,2026-08-18,11900000,Delta Systems,REF_ORD4042,2026-08-20,50551,INR,settled
ORD4043,2026-08-19,12100000,Omni Global,REF_ORD4043,2026-08-21,51400,INR,settled
ORD4044,2026-08-20,12300000,Meridian Steel,REF_ORD4044,2026-08-22,52250,INR,settled
ORD4045,2026-08-21,12500000,Everest Textiles,REF_ORD4045,2026-08-23,53100,INR,settled
ORD4046,2026-08-10,5000000,Acme Corp,REF_ORD4046,2026-08-12,18000,INR,settled
ORD4047,2026-08-10,5000000,Vortex Dynamics,REF_ORD4047,2026-08-12,18000,INR,settled
ORD4048,2026-08-10,5000000,Pioneer Auto,REF_ORD4048,2026-08-12,18000,INR,settled
ORD4049,2026-08-10,5000000,Raga Exports,REF_ORD4049,2026-08-12,18000,INR,settled
ORD4050,2026-08-10,5000000,Global Tech,REF_ORD4050,2026-08-12,18000,INR,settled
ORD4056,2026-08-22,9000000,Vortex Dynamics,REF_ORD4056,2026-09-01,16200,INR,unsettled
ORD4057,2026-08-22,9000000,Pioneer Auto,REF_ORD4057,2026-09-01,16200,INR,unsettled
ORD4058,2026-08-22,9000000,Raga Exports,REF_ORD4058,2026-09-01,16200,INR,unsettled
ORD4059,2026-08-22,9000000,Global Tech,REF_ORD4059,2026-09-01,16200,INR,unsettled
ORD4060,2026-08-22,9000000,Delta Systems,REF_ORD4060,2026-09-01,16200,INR,unsettled
