settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL3001,2026-08-05,18500000,REF3001,Acme Corp,370000,18130000,UPI/HDFC/Settlement for REF3001,INR
STL3002,2026-08-06,22000000,REF3002,Vortex Dynamics,440000,21560000,UPI/HDFC/Settlement for REF3002,INR
STL3003,2026-08-07,25500000,REF3003,Pioneer Auto,510000,24990000,UPI/HDFC/Settlement for REF3003,INR
STL3004,2026-08-08,29000000,REF3004,Raga Exports,580000,28420000,UPI/HDFC/Settlement for REF3004,INR
STL3005,2026-08-09,32500000,REF3005,Global Tech,650000,31850000,UPI/HDFC/Settlement for REF3005,INR
STL3006,2026-08-10,36000000,REF3006,Delta Systems,720000,35280000,UPI/HDFC/Settlement for REF3006,INR
STL3007,2026-08-11,39500000,REF3007,Omni Global,790000,38710000,UPI/HDFC/Settlement for REF3007,INR
STL3008,2026-08-12,43000000,REF3008,Meridian Steel,860000,42140000,UPI/HDFC/Settlement for REF3008,INR
STL3009,2026-08-13,46500000,REF3009,Everest Textiles,930000,45570000,UPI/HDFC/Settlement for REF3009,INR
STL3010,2026-08-14,50000000,REF3010,Acme Corp,1000000,49000000,UPI/HDFC/Settlement for REF3010,INR
STL3011,2026-08-15,53500000,REF3011,Vortex Dynamics,1070000,52430000,UPI/HDFC/Settlement for REF3011,INR
STL3012,2026-08-16,57000000,REF3012,Pioneer Auto,1140000,55860000,UPI/HDFC/Settlement for REF3012,INR
STL3013,2026-08-17,60500000,REF3013,Raga Exports,1210000,59290000,UPI/HDFC/Settlement for REF3013,INR
STL3014,2026-08-18,64000000,REF3014,Global Tech,1280000,62720000,UPI/HDFC/Settlement for REF3014,INR
STL3015,2026-08-19,67500000,REF3015,Delta Systems,1350000,66150000,UPI/HDFC/Settlement for REF3015,INR
STL3016,2026-08-20,71000000,REF3016,Omni Global,1420000,69580000,UPI/HDFC/Settlement for REF3016,INR
STL3017,2026-08-21,74500000,REF3017,Meridian Steel,1490000,73010000,UPI/HDFC/Settlement for REF3017,INR
STL3018,2026-08-22,78000000,REF3018,Everest Textiles,1560000,76440000,UPI/HDFC/Settlement for REF3018,INR
STL3019,2026-08-23,81500000,REF3019,Acme Corp,1630000,79870000,UPI/HDFC/Settlement for REF3019,INR
STL3020,2026-08-24,85000000,REF3020,Vortex Dynamics,1700000,83300000,UPI/HDFC/Settlement for REF3020,INR
