payout_id,order_id,utr,gross_amount,fees,tax,net_settled,payout_date,bank_settlement_id,status
PAY4001,ORD4001,UTR409901,2150000,43000,7740,2107000,2026-08-04,STL4001,processed
PAY4002,ORD4002,UTR409902,2300000,46000,8280,2254000,2026-08-05,STL4002,processed
PAY4003,ORD4003,UTR409903,2450000,49000,8820,2401000,2026-08-06,STL4003,processed
PAY4004,ORD4004,UTR409904,2600000,52000,9360,2548000,2026-08-07,STL4004,processed
PAY4005,ORD4005,UTR409905,2750000,55000,9900,2695000,2026-08-08,STL4005,processed
PAY4006,ORD4006,UTR409906,2900000,58000,10440,2842000,2026-08-09,STL4006,processed
PAY4007,ORD4007,UTR409907,3050000,61000,10980,2989000,2026-08-10,STL4007,processed
PAY4008,ORD4008,UTR409908,3200000,64000,11520,3136000,2026-08-11,STL4008,processed
PAY4009,ORD4009,UTR409909,3350000,67000,12060,3283000,2026-08-12,STL4009,processed
PAY4010,ORD4010,UTR409910,3500000,70000,12600,3430000,2026-08-13,STL4010,processed
PAY4011,ORD4011,UTR409911,3650000,73000,13140,3577000,2026-08-14,STL4011,processed
PAY4012,ORD4012,UTR409912,3800000,76000,13680,3724000,2026-08-15,STL4012,processed
PAY4013,ORD4013,UTR409913,3950000,79000,14220,3871000,2026-08-16,STL4013,processed
PAY4014,ORD4014,UTR409914,4100000,82000,14760,4018000,2026-08-17,STL4014,processed
PAY4015,ORD4015,UTR409915,4250000,85000,15300,4165000,2026-08-18,STL4015,processed
PAY4016,ORD4016,UTR409916,4400000,88000,15840,4312000,2026-08-19,STL4016,processed
PAY4017,ORD4017,UTR409917,4550000,91000,16380,4459000,2026-08-20,STL4017,processed
PAY4018,ORD4018,UTR409918,4700000,94000,16920,4606000,2026-08-21,STL4018,processed
PAY4019,ORD4019,UTR409919,4850000,97000,17460,4753000,2026-08-22,STL4019,processed
PAY4020,ORD4020,UTR409920,5000000,100000,18000,4900000,2026-08-23,STL4020,processed
PAY4021,ORD4021,UTR409921,5150000,103000,18540,5047000,2026-08-24,STL4021,processed
PAY4022,ORD4022,UTR409922,5300000,106000,19080,5194000,2026-08-25,STL4022,processed
PAY4023,ORD4023,UTR409923,5450000,109000,19620,5341000,2026-08-26,STL4023,processed
PAY4024,ORD4024,UTR409924,5600000,112000,20160,5488000,2026-08-27,STL4024,processed
PAY4025,ORD4025,UTR409925,5750000,115000,20700,5635000,2026-08-03,STL4025,processed
PAY4026,ORD4026,UTR409926,5900000,118000,21240,5782000,2026-08-04,STL4026,processed
PAY4027,ORD4027,UTR409927,6050000,121000,21780,5929000,2026-08-05,STL4027,processed
PAY4028,ORD4028,UTR409928,6200000,124000,22320,6076000,2026-08-06,STL4028,processed
PAY4029,ORD4029,UTR409929,6350000,127000,22860,6223000,2026-08-07,STL4029,processed
PAY4030,ORD4030,UTR409930,6500000,130000,23400,6370000,2026-08-08,STL4030,processed
PAY4031,ORD4031,UTR409931,9700000,228920,41205,9471080,2026-08-09,STL4031,processed
PAY4032,ORD4032,UTR409932,9900000,233640,42055,9666360,2026-08-10,STL4032,processed
PAY4033,ORD4033,UTR409933,10100000,238360,42904,9861640,2026-08-11,STL4033,processed
PAY4034,ORD4034,UTR409934,10300000,243080,43754,10056920,2026-08-12,STL4034,processed
PAY4035,ORD4035,UTR409935,10500000,247800,44604,10252200,2026-08-13,STL4035,processed
PAY4036,ORD4036,UTR409936,10700000,252520,45453,10447480,2026-08-14,STL4036,processed
PAY4037,ORD4037,UTR409937,10900000,257240,46303,10642760,2026-08-15,STL4037,processed
PAY4038,ORD4038,UTR409938,11100000,261960,47152,10838040,2026-08-16,STL4038,processed
PAY4039,ORD4039,UTR409939,11300000,266680,48002,11033320,2026-08-17,STL4039,processed
PAY4040,ORD4040,UTR409940,11500000,271400,48852,11228600,2026-08-18,STL4040,processed
PAY4041,ORD4041,UTR409941,11700000,276120,49701,11423880,2026-08-19,STL4041,processed
PAY4042,ORD4042,UTR409942,11900000,280840,50551,11619160,2026-08-20,STL4042,processed
PAY4043,ORD4043,UTR409943,12100000,285560,51400,11814440,2026-08-21,STL4043,processed
PAY4044,ORD4044,UTR409944,12300000,290280,52250,12009720,2026-08-22,STL4044,processed
PAY4045,ORD4045,UTR409945,12500000,295000,53100,12205000,2026-08-23,STL4045,processed
PAY4046,ORD4046,UTR409946,5000000,105000,1890,4895000,2026-08-12,STL4046,processed
PAY4047,ORD4047,UTR409947,5000000,105000,1890,4895000,2026-08-12,STL4047,processed
PAY4048,ORD4048,UTR409948,5000000,105000,1890,4895000,2026-08-12,STL4048,processed
PAY4049,ORD4049,UTR409949,5000000,105000,1890,4895000,2026-08-12,STL4049,processed
PAY4050,ORD4050,UTR409950,5000000,105000,1890,4895000,2026-08-12,STL4050,processed
