settlement_id,order_id,is_true_match
STL6001,ORD6001,true
STL6002,ORD6002,true
STL6003,ORD6003,true
STL6004,ORD6004,true
STL6005,ORD6005,true
STL6006,ORD6006,true
STL6007,ORD6007,true
STL6008,ORD6008,true
STL6009,ORD6009,true
STL6010,ORD6010,true
STL6011,ORD6011,true
STL6012,ORD6012,true
STL6013,ORD6013,true
STL6014,ORD6014,true
STL6015,ORD6015,true
STL6016,ORD6016,true
STL6017,ORD6017,true
STL6018,ORD6018,true
STL6019,ORD6019,true
STL6020,ORD6020,true
STL6021,ORD6021,true
STL6022,ORD6022,true
STL6023,ORD6023,true
STL6024,ORD6024,true
STL6025,ORD6025,true
STL6026,ORD6026,true
STL6027,ORD6027,true
STL6028,ORD6028,true
STL6029,ORD6029,true
STL6030,ORD6030,true
STL6031,ORD6031,true
STL6032,ORD6032,true
STL6033,ORD6033,true
STL6034,ORD6034,true
STL6035,ORD6035,true
STL6036,ORD6036,true
STL6037,ORD6037,true
STL6038,ORD6038,true
STL6039,ORD6039,true
STL6040,ORD6040,true
STL6041,ORD6041,true
STL6042,ORD6042,true
STL6043,ORD6043,true
STL6044,ORD6044,true
STL6045,ORD6045,true
STL6046,ORD6046,true
STL6047,ORD6047,true
STL6048,ORD6048,true
STL6049,ORD6049,true
STL6050,ORD6050,true
STL6051,ORD6051,false
STL6052,ORD6052,false
STL6053,,false
STL6054,,false
,ORD6055,false
,ORD6056,false
STL6057,ORD6057,true
STL6058,ORD6058,true
STL6059,ORD6059,false
STL6060,ORD6060,false
