order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0087,2026-07-25,1271854,"Sule, Pai and Natarajan",REF04499727,2026-07-27,194011,INR,pending
ORD0032,2026-07-03,3891005,Lalla PLC,REF18244935,2026-07-04,593543,INR,settled
ORD0047,2026-07-19,2265404,Sandal and Sons,REF93676320,2026-07-22,345570,INR,settled
ORD0039,2026-07-15,1314748,D’Alia LLC,REF41458685,2026-07-16,200554,INR,settled
ORD0021,2026-07-13,4268028,Kothari and Sons,REF66701065,2026-07-15,651055,INR,settled
ORD0088,2026-07-23,7003166,Kaur-Roy,REF88675339,2026-07-25,1068279,INR,pending
ORD0012,2026-07-12,4529144,Oak-Choudhury,REF97848018,2026-07-13,690886,INR,settled
ORD0065,2026-07-21,8246204,"Majumdar, Anne and Varughese",REF52735454,2026-07-23,1257895,INR,settled
ORD0026,2026-07-08,4091154,Grewal Inc,REF09788208,2026-07-09,624074,INR,settled
ORD0043,2026-07-14,2647059,"Mitra, Ravi and Acharya",REF64823662,2026-07-16,403788,INR,settled
ORD0006,2026-07-05,5697119,"Patla, Gaba and Prabhakar",REF34131647,2026-07-06,869052,INR,settled
ORD0029,2026-07-07,5279731,Borah PLC,REF47510799,2026-07-08,805382,INR,settled
ORD0057,2026-07-20,1263085,Nayar-Ravel,REF56464170,2026-07-21,192673,INR,settled
ORD0046,2026-07-20,770097,"Bora, Shah and Sachdeva",REF43320037,2026-07-23,117472,INR,partially_settled
ORD0067,2026-07-25,4444880,Wali-Padmanabhan,REF14363495,2026-07-26,678032,INR,settled
ORD0079,2026-07-19,4323534,"Baral, Sankaran and Naidu",REF46488771,2026-07-20,659522,INR,settled
ORD0072,2026-07-06,6967152,Swamy-Borah,REF75204711,2026-07-08,1062785,INR,settled
ORD0053,2026-07-06,1239210,Kala Inc,REF70546688,2026-07-08,189032,INR,settled
ORD0075,2026-07-10,3790036,Borde and Sons,REF91334123,2026-07-11,578141,INR,settled
ORD0027,2026-07-03,1211193,"Baral, Bumb and Saini",REF91361939,2026-07-05,184758,INR,settled
ORD0052,2026-07-06,1848489,Kala Inc,REF03669096,2026-07-08,281972,INR,settled
ORD0084,2026-07-15,404223,Loke PLC,REF03859770,2026-07-17,61661,USD,settled
ORD0058,2026-07-22,1941565,"Zacharia, Ben and Palla",REF09232719,2026-07-23,296170,INR,settled
ORD0025,2026-07-20,8247443,"Bhat, Murthy and Bhandari",REF87234309,2026-07-22,1258084,INR,settled
ORD0061,2026-07-04,671155,Issac-Borra,REF90586518,2026-07-05,102379,INR,settled
ORD0022,2026-07-24,4526583,Borra Group,REF38726247,2026-07-25,690495,INR,settled
ORD0038,2026-07-18,2401868,"Hans, Rastogi and Narasimhan",REF33754330,2026-07-20,366386,INR,settled
ORD0045,2026-07-16,1004280,Keer Ltd,REF87214895,2026-07-17,153195,INR,settled
ORD0001,2026-07-21,469610,Sami Inc,REF10433218,2026-07-22,71635,INR,settled
ORD0019,2026-07-17,1575206,Zacharia and Sons,REF10518347,2026-07-19,240285,INR,settled
ORD0071,2026-07-08,1774590,"Mane, Singh and Srinivas",REF00842710,2026-07-10,270700,INR,settled
ORD0020,2026-07-05,7132668,Sankar LLC,REF99737631,2026-07-06,1088034,INR,settled
ORD0078,2026-07-20,5849667,Dash-Sidhu,REF21024994,2026-07-22,892322,INR,settled
ORD0041,2026-07-16,3636084,"Yohannan, Hegde and Patla",REF16934060,2026-07-18,554656,INR,settled
ORD0064,2026-07-23,1541785,"Dua, Saran and Goda",REF37996507,2026-07-25,235187,INR,settled
ORD0077,2026-07-04,3045870,Dixit LLC,REF13493618,2026-07-06,464624,INR,settled
ORD0017,2026-07-09,4187722,Kar Inc,REF34657871,2026-07-10,638805,INR,settled
ORD0030,2026-07-15,2080113,Dugar-Sarma,REF38425135,2026-07-17,317305,INR,settled
ORD0014,2026-07-22,988483,"Naik, Suresh and Bahl",REF93252880,2026-07-24,150785,INR,settled
ORD0037,2026-07-13,1883230,Barad-Singhal,REF02563421,2026-07-15,287272,INR,settled
ORD0008,2026-07-15,6400753,Loyal-Bhatti,REF48350305,2026-07-16,976386,INR,settled
