order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0030,2026-07-22,13927.96,Bail LLC,REF67453946,2026-07-24,2124.6,INR,settled
ORD0007,2026-07-26,38939.53,"Wali, Ahuja and Chad",REF59727842,2026-07-28,5939.92,INR,settled
ORD0009,2026-07-26,62727.43,Bir-Bhasin,REF38721245,2026-07-27,9568.59,INR,settled
ORD0020,2026-07-13,7958.82,Wali Inc,REF27614035,2026-07-15,1214.05,INR,settled
ORD0029,2026-07-22,17148.98,Bail LLC,REF30627612,2026-07-24,2615.94,INR,settled
ORD0019,2026-07-04,30035.43,Venkatesh-Bora,REF00491197,2026-07-06,4581.67,INR,settled
ORD0015,2026-07-05,57132.6,"Joshi, Datta and Shanker",REF51507358,2026-07-07,8715.14,INR,settled
ORD0031,2026-07-22,4008.35,Bail LLC,REF22874368,2026-07-24,611.44,INR,settled
ORD0001,2026-07-19,60675.63,"Kapadia, Mani and Sunder",REF93857083,2026-07-20,9255.6,INR,settled
ORD0033,2026-07-22,18729.53,Kaur Ltd,REF18074562,2026-07-24,2857.04,INR,pending
ORD0011,2026-07-03,68393.14,Mand Ltd,REF47361853,2026-07-04,10432.85,INR,settled
ORD0014,2026-07-22,34198.89,Dara and Sons,REF56603813,2026-07-23,5216.77,INR,settled
ORD0012,2026-07-06,52726.48,Khare-Mahajan,REF20069790,2026-07-08,8043.02,INR,settled
ORD0016,2026-07-18,78181.03,Sha LLC,REF88544436,2026-07-20,11925.91,INR,settled
ORD0003,2026-07-11,12303.69,Sibal-Modi,REF37536631,2026-07-13,1876.83,INR,settled
ORD0024,2026-07-04,4489.92,Keer-Gandhi,REF20148014,2026-07-06,684.9,INR,settled
ORD0013,2026-07-02,74700.23,Mani LLC,REF73898550,2026-07-04,11394.95,INR,settled
ORD0006,2026-07-15,36025.37,Ravel Ltd,REF49206241,2026-07-17,5495.39,INR,settled
ORD0008,2026-07-24,1593.63,"Sharma, Dey and Gola",REF10958719,2026-07-26,243.09,INR,settled
ORD0021,2026-07-22,53409.06,Gulati PLC,REF33229372,2026-07-23,8147.14,INR,settled
ORD0032,2026-07-16,6473.56,"Pradhan, Mani and Deshpande",REF00810747,2026-07-17,987.49,INR,settled
ORD0027,2026-07-19,4379.37,Prashad and Sons,REF03503484,2026-07-21,668.03,USD,settled
ORD0028,2026-07-18,19151.6,Mittal-Chand,REF49957940,2026-07-19,2921.43,INR,settled
ORD0017,2026-07-22,15705.02,Jayaraman-Bandi,REF03095770,2026-07-24,2395.68,INR,settled
ORD0022,2026-07-12,68152.65,Srivastava and Sons,REF83198058,2026-07-14,10396.16,INR,settled
ORD0010,2026-07-19,6301.94,Mammen and Sons,REF88570345,2026-07-20,961.31,INR,settled
ORD0004,2026-07-03,61991.0,Bose-Ravel,REF31954663,2026-07-05,9456.25,INR,settled
ORD0002,2026-07-17,37694.45,Yogi-Peri,REF35714321,2026-07-18,5750.0,INR,settled
ORD0023,2026-07-17,36763.53,Maharaj Group,REF11079999,2026-07-18,5607.99,INR,settled
ORD0005,2026-07-21,71350.52,Parsa-Andra,REF60738150,2026-07-23,10883.97,INR,settled
ORD0025,2026-07-05,53910.08,Khurana-Singh,REF68625034,2026-07-07,8223.57,INR,settled
ORD0026,2026-07-07,50310.49,Hari-Mahal,REF33629277,2026-07-09,7674.48,INR,settled
ORD0018,2026-07-09,34799.02,Sura Ltd,REF79006749,2026-07-11,5308.32,INR,settled
