settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL3001,2026-08-05,1700000,REF3001,Acme Corp,34000,1666000,UPI/HDFC/Settlement for REF3001,INR
STL3002,2026-08-06,1900000,REF3002,Vortex Dynamics,38000,1862000,UPI/HDFC/Settlement for REF3002,INR
STL3003,2026-08-07,2100000,REF3003,Pioneer Auto,42000,2058000,UPI/HDFC/Settlement for REF3003,INR
STL3004,2026-08-08,2300000,REF3004,Raga Exports,46000,2254000,UPI/HDFC/Settlement for REF3004,INR
STL3005,2026-08-09,2500000,REF3005,Global Tech,50000,2450000,UPI/HDFC/Settlement for REF3005,INR
STL3006,2026-08-10,2700000,REF3006,Delta Systems,54000,2646000,UPI/HDFC/Settlement for REF3006,INR
STL3007,2026-08-11,2900000,REF3007,Omni Global,58000,2842000,UPI/HDFC/Settlement for REF3007,INR
STL3008,2026-08-12,3100000,REF3008,Meridian Steel,62000,3038000,UPI/HDFC/Settlement for REF3008,INR
STL3009,2026-08-13,3300000,REF3009,Everest Textiles,66000,3234000,UPI/HDFC/Settlement for REF3009,INR
STL3010,2026-08-14,3500000,REF3010,Acme Corp,70000,3430000,UPI/HDFC/Settlement for REF3010,INR
STL3011,2026-08-15,3700000,REF3011,Vortex Dynamics,74000,3626000,UPI/HDFC/Settlement for REF3011,INR
STL3012,2026-08-16,3900000,REF3012,Pioneer Auto,78000,3822000,UPI/HDFC/Settlement for REF3012,INR
STL3013,2026-08-17,4100000,REF3013,Raga Exports,82000,4018000,UPI/HDFC/Settlement for REF3013,INR
STL3014,2026-08-18,4300000,REF3014,Global Tech,86000,4214000,UPI/HDFC/Settlement for REF3014,INR
STL3015,2026-08-19,4500000,REF3015,Delta Systems,90000,4410000,UPI/HDFC/Settlement for REF3015,INR
STL3016,2026-08-20,4700000,REF3016,Omni Global,94000,4606000,UPI/HDFC/Settlement for REF3016,INR
STL3017,2026-08-21,4900000,REF3017,Meridian Steel,98000,4802000,UPI/HDFC/Settlement for REF3017,INR
STL3018,2026-08-22,5100000,REF3018,Everest Textiles,102000,4998000,UPI/HDFC/Settlement for REF3018,INR
STL3019,2026-08-23,5300000,REF3019,Acme Corp,106000,5194000,UPI/HDFC/Settlement for REF3019,INR
STL3020,2026-08-04,5500000,REF3020,Vortex Dynamics,110000,5390000,UPI/HDFC/Settlement for REF3020,INR
STL3021,2026-08-05,5700000,REF3021,Pioneer Auto,114000,5586000,UPI/HDFC/Settlement for REF3021,INR
STL3022,2026-08-06,5900000,REF3022,Raga Exports,118000,5782000,UPI/HDFC/Settlement for REF3022,INR
STL3023,2026-08-07,6100000,REF3023,Global Tech,122000,5978000,UPI/HDFC/Settlement for REF3023,INR
STL3024,2026-08-08,6300000,REF3024,Delta Systems,126000,6174000,UPI/HDFC/Settlement for REF3024,INR
STL3025,2026-08-09,6500000,REF3025,Omni Global,130000,6370000,UPI/HDFC/Settlement for REF3025,INR
STL3026,2026-08-10,6700000,REF3026,Meridian Steel,134000,6566000,UPI/HDFC/Settlement for REF3026,INR
STL3027,2026-08-11,6900000,REF3027,Everest Textiles,138000,6762000,UPI/HDFC/Settlement for REF3027,INR
STL3028,2026-08-12,7100000,REF3028,Acme Corp,142000,6958000,UPI/HDFC/Settlement for REF3028,INR
STL3029,2026-08-13,7300000,REF3029,Vortex Dynamics,146000,7154000,UPI/HDFC/Settlement for REF3029,INR
STL3030,2026-08-14,7500000,REF3030,Pioneer Auto,150000,7350000,UPI/HDFC/Settlement for REF3030,INR
STL3031,2026-08-15,7700000,REF3031,Raga Exports,154000,7546000,UPI/HDFC/Settlement for REF3031,INR
STL3032,2026-08-16,7900000,REF3032,Global Tech,158000,7742000,UPI/HDFC/Settlement for REF3032,INR
STL3033,2026-08-17,8100000,REF3033,Delta Systems,162000,7938000,UPI/HDFC/Settlement for REF3033,INR
STL3034,2026-08-18,8300000,REF3034,Omni Global,166000,8134000,UPI/HDFC/Settlement for REF3034,INR
STL3035,2026-08-19,8500000,REF3035,Meridian Steel,170000,8330000,UPI/HDFC/Settlement for REF3035,INR
