order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD3001,2026-08-02,1700000,Acme Corp,REF3001,2026-08-04,306000,INR,settled
ORD3002,2026-08-03,1900000,Vortex Dynamics,REF3002,2026-08-05,342000,INR,settled
ORD3003,2026-08-04,2100000,Pioneer Auto,REF3003,2026-08-06,378000,INR,settled
ORD3004,2026-08-05,2300000,Raga Exports,REF3004,2026-08-07,414000,INR,settled
ORD3005,2026-08-06,2500000,Global Tech,REF3005,2026-08-08,450000,INR,settled
ORD3006,2026-08-07,2700000,Delta Systems,REF3006,2026-08-09,486000,INR,settled
ORD3007,2026-08-08,2900000,Omni Global,REF3007,2026-08-10,522000,INR,settled
ORD3008,2026-08-09,3100000,Meridian Steel,REF3008,2026-08-11,558000,INR,settled
ORD3009,2026-08-10,3300000,Everest Textiles,REF3009,2026-08-12,594000,INR,settled
ORD3010,2026-08-11,3500000,Acme Corp,REF3010,2026-08-13,630000,INR,settled
ORD3011,2026-08-12,3700000,Vortex Dynamics,REF3011,2026-08-14,666000,INR,settled
ORD3012,2026-08-13,3900000,Pioneer Auto,REF3012,2026-08-15,702000,INR,settled
ORD3013,2026-08-14,4100000,Raga Exports,REF3013,2026-08-16,738000,INR,settled
ORD3014,2026-08-15,4300000,Global Tech,REF3014,2026-08-17,774000,INR,settled
ORD3015,2026-08-16,4500000,Delta Systems,REF3015,2026-08-18,810000,INR,settled
ORD3016,2026-08-17,4700000,Omni Global,REF3016,2026-08-19,846000,INR,settled
ORD3017,2026-08-18,4900000,Meridian Steel,REF3017,2026-08-20,882000,INR,settled
ORD3018,2026-08-19,5100000,Everest Textiles,REF3018,2026-08-21,918000,INR,settled
ORD3019,2026-08-20,5300000,Acme Corp,REF3019,2026-08-22,954000,INR,settled
ORD3020,2026-08-01,5500000,Vortex Dynamics,REF3020,2026-08-03,990000,INR,settled
ORD3021,2026-08-02,5700000,Pioneer Auto,REF3021,2026-08-04,1026000,INR,settled
ORD3022,2026-08-03,5900000,Raga Exports,REF3022,2026-08-05,1062000,INR,settled
ORD3023,2026-08-04,6100000,Global Tech,REF3023,2026-08-06,1098000,INR,settled
ORD3024,2026-08-05,6300000,Delta Systems,REF3024,2026-08-07,1134000,INR,settled
ORD3025,2026-08-06,6500000,Omni Global,REF3025,2026-08-08,1170000,INR,settled
ORD3026,2026-08-07,6700000,Meridian Steel,REF3026,2026-08-09,1206000,INR,settled
ORD3027,2026-08-08,6900000,Everest Textiles,REF3027,2026-08-10,1242000,INR,settled
ORD3028,2026-08-09,7100000,Acme Corp,REF3028,2026-08-11,1278000,INR,settled
ORD3029,2026-08-10,7300000,Vortex Dynamics,REF3029,2026-08-12,1314000,INR,settled
ORD3030,2026-08-11,7500000,Pioneer Auto,REF3030,2026-08-13,1350000,INR,settled
ORD3031,2026-08-12,7700000,Raga Exports,REF3031,2026-08-14,1386000,INR,settled
ORD3032,2026-08-13,7900000,Global Tech,REF3032,2026-08-15,1422000,INR,settled
ORD3033,2026-08-14,8100000,Delta Systems,REF3033,2026-08-16,1458000,INR,settled
ORD3034,2026-08-15,8300000,Omni Global,REF3034,2026-08-17,1494000,INR,settled
ORD3035,2026-08-16,8500000,Meridian Steel,REF3035,2026-08-18,1530000,INR,settled
ORD3036,2026-08-17,9400000,Everest Textiles,REF3036,2026-08-19,1692000,INR,settled
ORD3037,2026-08-18,9550000,Acme Corp,REF3037,2026-08-20,1719000,INR,settled
ORD3038,2026-08-19,9700000,Vortex Dynamics,REF3038,2026-08-21,1746000,INR,settled
ORD3039,2026-08-20,9850000,Pioneer Auto,REF3039,2026-08-22,1773000,INR,settled
ORD3040,2026-08-01,10000000,Raga Exports,REF3040,2026-08-03,1800000,INR,settled
ORD3041,2026-08-02,10150000,Global Tech,REF3041,2026-08-04,1827000,INR,settled
